season,age,team_id,lg_id,pos,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,award_summary
2003-04,19,CLE,NBA,SG,79,79,39.5,7.9,18.9,.417,0.8,2.7,.290,7.1,16.1,.438,.438,4.4,5.8,.754,1.3,4.2,5.5,5.9,1.6,0.7,3.5,1.9,20.9,"MVP-9,ROY-1"
2004-05,20,CLE,NBA,SF,80,80,42.4,9.9,21.1,.472,1.4,3.9,.351,8.6,17.2,.499,.504,6.0,8.0,.750,1.4,6.0,7.4,7.2,2.2,0.7,3.3,1.8,27.2,"MVP-6,NBA2,AS,MIP-6"
2005-06,21,CLE,NBA,SF,79,79,42.5,11.1,23.1,.480,1.6,4.8,.335,9.5,18.3,.518,.515,7.6,10.3,.738,0.9,6.1,7.0,6.6,1.6,0.8,3.3,2.3,31.4,"MVP-2,NBA1,AS,MIP-19"
2006-07,22,CLE,NBA,SF,78,78,40.9,9.9,20.8,.476,1.3,4.0,.319,8.6,16.8,.513,.507,6.3,9.0,.698,1.1,5.7,6.7,6.0,1.6,0.7,3.2,2.2,27.3,"MVP-5,NBA2,AS"
2007-08,23,CLE,NBA,SF,75,74,40.4,10.6,21.9,.484,1.5,4.8,.315,9.1,17.1,.531,.518,7.3,10.3,.712,1.8,6.1,7.9,7.2,1.8,1.1,3.4,2.2,30.0,"MVP-4,NBA1,AS,MIP-18"
2008-09,24,CLE,NBA,SF,81,81,37.7,9.7,19.9,.489,1.6,4.7,.344,8.1,15.2,.535,.530,7.3,9.4,.780,1.3,6.3,7.6,7.2,1.7,1.1,3.0,1.7,28.4,"MVP-1,NBA1,DEF1,AS,DPOY-2"
2009-10,25,CLE,NBA,SF,76,76,39.0,10.1,20.1,.503,1.7,5.1,.333,8.4,15.0,.560,.545,7.8,10.2,.767,0.9,6.4,7.3,8.6,1.6,1.0,3.4,1.6,29.7,"MVP-1,NBA1,DEF1,AS,DPOY-4"
2010-11,26,MIA,NBA,SF,79,79,38.8,9.6,18.8,.510,1.2,3.5,.330,8.4,15.3,.552,.541,6.4,8.4,.759,1.0,6.5,7.5,7.0,1.6,0.6,3.6,2.1,26.7,"MVP-3,NBA1,DEF1,AS,DPOY-9"
2011-12,27,MIA,NBA,SF,62,62,37.5,10.0,18.9,.531,0.9,2.4,.362,9.1,16.5,.556,.554,6.2,8.1,.771,1.5,6.4,7.9,6.2,1.9,0.8,3.4,1.5,27.1,"MVP-1,NBA1,DEF1,AS,DPOY-4"
2012-13,28,MIA,NBA,PF,76,76,37.9,10.1,17.8,.565,1.4,3.3,.406,8.7,14.5,.602,.603,5.3,7.0,.753,1.3,6.8,8.0,7.3,1.7,0.9,3.0,1.4,26.8,"MVP-1,NBA1,DEF1,AS,DPOY-2"
2013-14,29,MIA,NBA,PF,77,77,37.7,10.0,17.6,.567,1.5,4.0,.379,8.5,13.6,.622,.610,5.7,7.6,.750,1.1,5.9,6.9,6.3,1.6,0.3,3.5,1.6,27.1,"MVP-2,NBA1,DEF2,AS,DPOY-6,MIP-20"
2014-15,30,CLE,NBA,SF,69,69,36.1,9.0,18.5,.488,1.7,4.9,.354,7.3,13.6,.536,.535,5.4,7.7,.710,0.7,5.3,6.0,7.4,1.6,0.7,3.9,2.0,25.3,"MVP-3,NBA1,AS,DPOY-13"
2015-16,31,CLE,NBA,SF,76,76,35.6,9.7,18.6,.520,1.1,3.7,.309,8.6,14.9,.573,.551,4.7,6.5,.731,1.5,6.0,7.4,6.8,1.4,0.6,3.3,1.9,25.3,"MVP-3,NBA1,AS,DPOY-11"
2016-17,32,CLE,NBA,SF,74,74,37.8,9.9,18.2,.548,1.7,4.6,.363,8.3,13.5,.611,.594,4.8,7.2,.674,1.3,7.3,8.6,8.7,1.2,0.6,4.1,1.8,26.4,"MVP-4,NBA1,AS,DPOY-5"
2017-18,33,CLE,NBA,PF,82,82,36.9,10.5,19.3,.542,1.8,5.0,.367,8.6,14.3,.603,.590,4.7,6.5,.731,1.2,7.5,8.6,9.1,1.4,0.9,4.2,1.7,27.5,"MVP-2,NBA1,AS"
2018-19,34,LAL,NBA,SF,55,55,35.2,10.1,19.9,.510,2.0,5.9,.339,8.1,14.0,.582,.560,5.1,7.6,.665,1.0,7.4,8.5,8.3,1.3,0.6,3.6,1.7,27.4,"MVP-11,NBA3,AS"
2019-20,35,LAL,NBA,PG,67,67,34.6,9.6,19.4,.493,2.2,6.3,.348,7.4,13.1,.564,.550,3.9,5.7,.693,1.0,6.9,7.8,10.2,1.2,0.5,3.9,1.8,25.3,"MVP-2,NBA1,AS"
2020-21,36,LAL,NBA,PG,45,45,33.4,9.4,18.3,.513,2.3,6.3,.365,7.1,12.0,.591,.576,4.0,5.7,.698,0.6,7.0,7.7,7.8,1.1,0.6,3.7,1.6,25.0,"MVP-13,NBA2,AS"
2021-22,37,LAL,NBA,C,56,56,37.2,11.4,21.8,.524,2.9,8.0,.359,8.6,13.8,.620,.590,4.5,6.0,.756,1.1,7.1,8.2,6.2,1.3,1.1,3.5,2.2,30.3,"MVP-10,NBA3,AS"
2022-23,38,LAL,NBA,PF,55,54,35.5,11.1,22.2,.500,2.2,6.9,.321,8.9,15.3,.580,.549,4.6,5.9,.768,1.2,7.1,8.3,6.8,0.9,0.6,3.2,1.6,28.9,"NBA3,AS"
2023-24,39,LAL,NBA,PF,71,71,35.3,9.6,17.9,.540,2.1,5.1,.410,7.5,12.8,.592,.599,4.3,5.7,.750,0.9,6.4,7.3,8.3,1.3,0.5,3.5,1.1,25.7,"NBA3,AS,CPOY-10"
2005-06,21,CLE,NBA,SF,13,13,46.5,11.2,23.6,.476,1.6,4.8,.333,9.6,18.8,.512,.510,6.7,9.1,.737,1.7,6.4,8.1,5.8,1.4,0.7,5.0,3.4,30.8,
2006-07,22,CLE,NBA,SF,20,20,44.7,8.3,20.0,.416,1.1,3.8,.280,7.3,16.2,.448,.442,7.4,9.8,.755,1.3,6.8,8.1,8.0,1.7,0.5,3.3,2.0,25.1,
2007-08,23,CLE,NBA,SF,13,13,42.5,8.7,21.2,.411,1.4,5.4,.257,7.3,15.8,.463,.444,9.4,12.8,.731,1.2,6.6,7.8,7.6,1.8,1.3,4.2,2.5,28.2,
2008-09,24,CLE,NBA,SF,14,14,41.4,11.4,22.3,.510,1.9,5.8,.333,9.4,16.5,.571,.553,10.6,14.2,.749,1.4,7.8,9.1,7.3,1.6,0.9,2.7,2.1,35.3,
2009-10,25,CLE,NBA,SF,11,11,41.8,9.6,19.2,.502,1.8,4.5,.400,7.8,14.6,.534,.550,8.0,10.9,.733,1.4,7.9,9.3,7.6,1.7,1.8,3.8,2.1,29.1,
2010-11,26,MIA,NBA,SF,21,21,43.9,8.3,17.8,.466,1.4,4.0,.353,6.9,13.7,.500,.507,5.7,7.4,.763,1.6,6.8,8.4,5.9,1.7,1.2,3.1,2.7,23.7,
2011-12,27,MIA,NBA,SF,23,23,42.7,10.9,21.8,.500,1.0,3.7,.259,10.0,18.1,.549,.522,7.5,10.2,.739,2.3,7.4,9.7,5.6,1.9,0.7,3.5,2.0,30.3,
2012-13,28,MIA,NBA,PF,23,23,41.7,9.2,18.8,.491,1.6,4.2,.375,7.7,14.6,.524,.532,5.9,7.6,.777,1.6,6.8,8.4,6.6,1.8,0.8,3.0,1.9,25.9,
2013-14,29,MIA,NBA,PF,20,20,38.2,9.6,17.0,.565,1.8,4.3,.407,7.9,12.7,.618,.616,6.5,8.0,.806,0.7,6.4,7.1,4.8,1.8,0.6,3.1,2.3,27.4,
2014-15,30,CLE,NBA,SF,20,20,42.2,11.4,27.2,.417,1.3,5.5,.227,10.1,21.7,.465,.440,6.1,8.4,.731,1.9,9.5,11.3,8.5,1.7,1.1,4.1,2.9,30.1,
2015-16,31,CLE,NBA,SF,21,21,39.1,10.4,19.9,.525,1.5,4.5,.340,8.9,15.4,.579,.564,3.9,5.9,.661,2.0,7.5,9.5,7.6,2.3,1.3,3.6,2.6,26.3,
2016-17,32,CLE,NBA,SF,18,18,41.3,12.1,21.3,.565,2.4,5.9,.411,9.6,15.4,.625,.622,6.3,9.0,.698,1.1,8.1,9.1,7.8,1.9,1.3,4.0,2.4,32.8,
2017-18,33,CLE,NBA,PF,22,22,41.9,12.5,23.2,.539,1.8,5.2,.342,10.7,18.0,.596,.577,7.2,9.7,.746,1.4,7.7,9.1,9.0,1.4,1.0,4.3,2.4,34.0,
2019-20,35,LAL,NBA,PG,21,21,36.3,10.2,18.2,.560,2.1,5.7,.370,8.1,12.5,.646,.618,5.1,7.1,.720,1.3,9.4,10.8,8.8,1.2,0.9,4.0,1.9,27.6,
2020-21,36,LAL,NBA,PG,6,6,37.3,9.0,19.0,.474,3.0,8.0,.375,6.0,11.0,.545,.553,2.3,3.8,.609,1.2,6.0,7.2,8.0,1.5,0.3,4.2,1.2,23.3,
2022-23,38,LAL,NBA,PF,16,16,38.7,9.2,18.4,.498,1.8,6.6,.264,7.4,11.8,.630,.546,4.4,5.8,.761,1.6,8.3,9.9,6.5,1.1,1.1,2.5,1.8,24.5,
2023-24,39,LAL,NBA,PF,5,5,40.8,11.2,19.8,.566,2.0,5.2,.385,9.2,14.6,.630,.616,3.4,4.6,.739,0.8,6.0,6.8,8.8,2.4,1.0,3.8,2.2,27.8,
